Date,Time,Reading Index,Movement Value
1,2015-02-06,15:24:52.466676,111
2,2015-02-06,15:24:52.628783,261
3,2015-02-06,15:24:52.928833,135
4,2015-02-06,15:24:53.229102,111
5,2015-02-06,15:24:53.529182,152
6,2015-02-06,15:24:53.829436,335
7,2015-02-06,15:24:54.128126,70
8,2015-02-06,15:24:54.428467,15
9,2015-02-06,15:24:54.728098,1
10,2015-02-06,15:24:55.028305,1
11,2015-02-06,15:24:55.329674,7
12,2015-02-06,15:24:55.629847,4
13,2015-02-06,15:24:55.929993,0
14,2015-02-06,15:24:56.230171,0
15,2015-02-06,15:24:56.529096,2
16,2015-02-06,15:24:56.829318,2
17,2015-02-06,15:24:57.129432,0
18,2015-02-06,15:24:57.429772,0
19,2015-02-06,15:24:57.729726,1
20,2015-02-06,15:24:58.029937,0
21,2015-02-06,15:24:58.330097,1
22,2015-02-06,15:24:58.630241,0
23,2015-02-06,15:24:58.930400,0
24,2015-02-06,15:24:59.230579,0
25,2015-02-06,15:24:59.530807,0
26,2015-02-06,15:24:59.830898,1
27,2015-02-06,15:25:00.131192,0
28,2015-02-06,15:25:00.431249,1
29,2015-02-06,15:25:00.731477,0
30,2015-02-06,15:25:01.031571,1
31,2015-02-06,15:25:01.331869,0
32,2015-02-06,15:25:01.631912,1
33,2015-02-06,15:25:01.930820,1
34,2015-02-06,15:25:02.232306,0
35,2015-02-06,15:25:02.532654,2
36,2015-02-06,15:25:02.832564,3
37,2015-02-06,15:25:03.132801,2
38,2015-02-06,15:25:03.432921,1
39,2015-02-06,15:25:03.733115,0
40,2015-02-06,15:25:04.033226,2
41,2015-02-06,15:25:04.332279,2
42,2015-02-06,15:25:04.632333,1
43,2015-02-06,15:25:04.932529,0
44,2015-02-06,15:25:05.232652,1
45,2015-02-06,15:25:05.532867,2
46,2015-02-06,15:25:05.834242,1
47,2015-02-06,15:25:06.134707,1
48,2015-02-06,15:25:06.434700,1
49,2015-02-06,15:25:06.733541,1
50,2015-02-06,15:25:07.033629,1
51,2015-02-06,15:25:07.333918,0
52,2015-02-06,15:25:07.633986,1
53,2015-02-06,15:25:07.934136,1
54,2015-02-06,15:25:08.234295,1
55,2015-02-06,15:25:08.534953,0
56,2015-02-06,15:25:08.834909,0
57,2015-02-06,15:25:09.134992,1
58,2015-02-06,15:25:09.435114,0
59,2015-02-06,15:25:09.735656,1
60,2015-02-06,15:25:10.035589,0
61,2015-02-06,15:25:10.335753,0
62,2015-02-06,15:25:10.636039,0
63,2015-02-06,15:25:10.936106,0
64,2015-02-06,15:25:11.236256,2
65,2015-02-06,15:25:11.536446,1
66,2015-02-06,15:25:11.836676,2
67,2015-02-06,15:25:12.135393,0
68,2015-02-06,15:25:12.435498,0
69,2015-02-06,15:25:12.737044,0
70,2015-02-06,15:25:13.037476,2
71,2015-02-06,15:25:13.337545,0
72,2015-02-06,15:25:13.637556,0
73,2015-02-06,15:25:13.937694,1
74,2015-02-06,15:25:14.238046,2
75,2015-02-06,15:25:14.536831,1
