Date,Time,Reading Index,Movement Value
76,2015-02-06,15:25:14.836831,1
77,2015-02-06,15:25:15.136999,1
78,2015-02-06,15:25:15.437454,4
79,2015-02-06,15:25:15.737516,1
80,2015-02-06,15:25:16.037894,2
81,2015-02-06,15:25:16.338788,1
82,2015-02-06,15:25:16.639061,2
83,2015-02-06,15:25:16.937879,2
84,2015-02-06,15:25:17.238072,0
85,2015-02-06,15:25:17.538187,1
86,2015-02-06,15:25:17.838369,0
87,2015-02-06,15:25:18.138530,1
88,2015-02-06,15:25:18.438752,1
89,2015-02-06,15:25:18.738838,1
90,2015-02-06,15:25:19.039138,2
91,2015-02-06,15:25:19.339178,1
92,2015-02-06,15:25:19.639421,0
93,2015-02-06,15:25:19.939645,0
94,2015-02-06,15:25:20.239729,0
95,2015-02-06,15:25:20.539841,2
96,2015-02-06,15:25:20.840031,2
97,2015-02-06,15:25:21.140177,1
98,2015-02-06,15:25:21.440414,2
99,2015-02-06,15:25:21.740517,1
100,2015-02-06,15:25:22.040737,0
101,2015-02-06,15:25:22.339584,1
102,2015-02-06,15:25:22.639827,1
103,2015-02-06,15:25:22.939913,1
104,2015-02-06,15:25:23.241360,3
105,2015-02-06,15:25:23.541500,2
106,2015-02-06,15:25:23.841673,5
107,2015-02-06,15:25:24.141847,1
108,2015-02-06,15:25:24.442311,1
109,2015-02-06,15:25:24.740930,2
110,2015-02-06,15:25:25.041155,0
111,2015-02-06,15:25:25.341253,2
112,2015-02-06,15:25:25.641485,4
113,2015-02-06,15:25:25.941577,3
114,2015-02-06,15:25:26.241767,1
115,2015-02-06,15:25:26.541915,1
116,2015-02-06,15:25:26.843315,0
117,2015-02-06,15:25:27.142255,7
118,2015-02-06,15:25:27.442426,5
119,2015-02-06,15:25:27.742624,8
120,2015-02-06,15:25:28.042743,0
121,2015-02-06,15:25:28.343041,2
122,2015-02-06,15:25:28.643144,2
123,2015-02-06,15:25:28.943308,0
124,2015-02-06,15:25:29.243524,0
125,2015-02-06,15:25:29.543688,0
126,2015-02-06,15:25:29.843730,1
127,2015-02-06,15:25:30.143903,3
128,2015-02-06,15:25:30.444072,1
129,2015-02-06,15:25:30.744774,0
130,2015-02-06,15:25:31.044714,1
131,2015-02-06,15:25:31.344991,1
132,2015-02-06,15:25:31.644870,0
133,2015-02-06,15:25:31.945281,0
134,2015-02-06,15:25:32.245361,1
135,2015-02-06,15:25:32.544102,1
136,2015-02-06,15:25:32.844158,0
137,2015-02-06,15:25:33.144312,0
138,2015-02-06,15:25:33.444755,0
139,2015-02-06,15:25:33.746404,1
140,2015-02-06,15:25:34.046515,0
141,2015-02-06,15:25:34.346644,0
142,2015-02-06,15:25:34.646530,1
143,2015-02-06,15:25:34.945842,0
144,2015-02-06,15:25:35.245661,1
145,2015-02-06,15:25:35.546138,0
146,2015-02-06,15:25:35.846120,0
147,2015-02-06,15:25:36.146286,1
148,2015-02-06,15:25:36.446432,2
149,2015-02-06,15:25:36.746675,1
150,2015-02-06,15:25:37.046926,1
151,2015-02-06,15:25:37.347177,1
152,2015-02-06,15:25:37.646924,1
153,2015-02-06,15:25:37.947544,0
154,2015-02-06,15:25:38.247379,1
155,2015-02-06,15:25:38.547669,1
156,2015-02-06,15:25:38.847595,0
157,2015-02-06,15:25:39.147683,1
158,2015-02-06,15:25:39.447791,1
159,2015-02-06,15:25:39.747957,0
160,2015-02-06,15:25:40.048114,0
161,2015-02-06,15:25:40.347556,0
162,2015-02-06,15:25:40.648584,0
163,2015-02-06,15:25:40.948662,0
164,2015-02-06,15:25:41.248947,0
165,2015-02-06,15:25:41.548961,1
166,2015-02-06,15:25:41.849258,0
167,2015-02-06,15:25:42.149299,0
168,2015-02-06,15:25:42.449498,0
169,2015-02-06,15:25:42.748654,0
170,2015-02-06,15:25:43.048515,0
171,2015-02-06,15:25:43.348710,0
172,2015-02-06,15:25:43.648962,1
173,2015-02-06,15:25:43.949043,2
174,2015-02-06,15:25:44.250568,0
175,2015-02-06,15:25:44.550624,0
176,2015-02-06,15:25:44.850821,1
177,2015-02-06,15:25:45.149698,1
178,2015-02-06,15:25:45.449901,0
179,2015-02-06,15:25:45.750014,0
180,2015-02-06,15:25:46.050204,0
181,2015-02-06,15:25:46.350348,0
182,2015-02-06,15:25:46.650587,0
183,2015-02-06,15:25:46.950664,0
184,2015-02-06,15:25:47.250968,1
185,2015-02-06,15:25:47.551029,1
186,2015-02-06,15:25:47.851226,0
187,2015-02-06,15:25:48.151346,0
188,2015-02-06,15:25:48.452773,0
189,2015-02-06,15:25:48.751655,2
190,2015-02-06,15:25:49.051888,1
191,2015-02-06,15:25:49.352007,0
192,2015-02-06,15:25:49.652242,0
193,2015-02-06,15:25:49.952335,0
194,2015-02-06,15:25:50.252570,0
195,2015-02-06,15:25:50.551436,1
196,2015-02-06,15:25:50.851710,0
197,2015-02-06,15:25:51.152995,0
198,2015-02-06,15:25:51.453490,2
199,2015-02-06,15:25:51.753320,0
200,2015-02-06,15:25:52.053513,1
201,2015-02-06,15:25:52.353659,0
202,2015-02-06,15:25:52.653850,1
203,2015-02-06,15:25:52.952741,0
204,2015-02-06,15:25:53.252986,1
205,2015-02-06,15:25:53.553078,0
206,2015-02-06,15:25:53.853304,0
207,2015-02-06,15:25:54.153405,1
208,2015-02-06,15:25:54.453635,0
209,2015-02-06,15:25:54.755377,1
210,2015-02-06,15:25:55.055438,0
211,2015-02-06,15:25:55.354076,0
212,2015-02-06,15:25:55.654252,0
213,2015-02-06,15:25:55.954828,1
214,2015-02-06,15:25:56.254978,0
215,2015-02-06,15:25:56.555140,1
216,2015-02-06,15:25:56.855019,1
217,2015-02-06,15:25:57.155349,1
218,2015-02-06,15:25:57.455495,1
219,2015-02-06,15:25:57.755712,1
220,2015-02-06,15:25:58.055734,0
221,2015-02-06,15:25:58.355889,0
222,2015-02-06,15:25:58.656211,1
223,2015-02-06,15:25:58.956571,0
224,2015-02-06,15:25:59.256539,0
225,2015-02-06,15:25:59.556829,0
226,2015-02-06,15:25:59.856635,0
227,2015-02-06,15:26:00.156921,0
228,2015-02-06,15:26:00.457194,0
229,2015-02-06,15:26:00.756324,1
230,2015-02-06,15:26:01.056465,0
231,2015-02-06,15:26:01.356539,0
232,2015-02-06,15:26:01.657675,2
233,2015-02-06,15:26:01.958046,1
234,2015-02-06,15:26:02.257893,0
235,2015-02-06,15:26:02.558188,0
236,2015-02-06,15:26:02.858206,1
237,2015-02-06,15:26:03.157575,0
238,2015-02-06,15:26:03.457754,1
239,2015-02-06,15:26:03.757846,0
240,2015-02-06,15:26:04.057953,0
241,2015-02-06,15:26:04.357832,1
242,2015-02-06,15:26:04.657975,1
243,2015-02-06,15:26:04.958377,0
244,2015-02-06,15:26:05.259553,0
245,2015-02-06,15:26:05.558597,0
246,2015-02-06,15:26:05.858624,2
247,2015-02-06,15:26:06.159103,0
248,2015-02-06,15:26:06.458971,1
249,2015-02-06,15:26:06.759184,1
250,2015-02-06,15:26:07.059327,0
251,2015-02-06,15:26:07.359492,2
252,2015-02-06,15:26:07.659632,1
253,2015-02-06,15:26:07.959786,0
254,2015-02-06,15:26:08.259952,1
255,2015-02-06,15:26:08.558985,1
256,2015-02-06,15:26:08.860355,1
257,2015-02-06,15:26:09.160438,1
258,2015-02-06,15:26:09.460755,1
259,2015-02-06,15:26:09.760834,1
260,2015-02-06,15:26:10.061018,1
261,2015-02-06,15:26:10.361131,1
262,2015-02-06,15:26:10.661342,0
263,2015-02-06,15:26:10.960194,0
264,2015-02-06,15:26:11.260361,0
265,2015-02-06,15:26:11.560539,2
266,2015-02-06,15:26:11.860767,1
267,2015-02-06,15:26:12.162109,1
268,2015-02-06,15:26:12.462573,3
269,2015-02-06,15:26:12.762443,0
270,2015-02-06,15:26:13.062728,0
271,2015-02-06,15:26:13.361529,0
272,2015-02-06,15:26:13.661751,0
273,2015-02-06,15:26:13.961900,1
274,2015-02-06,15:26:14.262053,0
275,2015-02-06,15:26:14.562323,2
276,2015-02-06,15:26:14.862389,1
277,2015-02-06,15:26:15.162506,0
278,2015-02-06,15:26:15.462994,0
279,2015-02-06,15:26:15.762860,0
280,2015-02-06,15:26:16.063141,0
281,2015-02-06,15:26:16.363183,0
282,2015-02-06,15:26:16.663400,1
283,2015-02-06,15:26:16.963486,0
284,2015-02-06,15:26:17.263701,0
285,2015-02-06,15:26:17.563854,0
286,2015-02-06,15:26:17.864043,0
287,2015-02-06,15:26:18.164159,0
288,2015-02-06,15:26:18.463532,0
289,2015-02-06,15:26:18.763378,0
290,2015-02-06,15:26:19.063610,0
291,2015-02-06,15:26:19.365092,0
292,2015-02-06,15:26:19.665288,1
293,2015-02-06,15:26:19.965483,3
294,2015-02-06,15:26:20.265717,1
295,2015-02-06,15:26:20.566029,1
296,2015-02-06,15:26:20.864735,1
297,2015-02-06,15:26:21.164843,0
298,2015-02-06,15:26:21.465290,0
299,2015-02-06,15:26:21.765318,0
300,2015-02-06,15:26:22.065514,1
301,2015-02-06,15:26:22.365495,0
302,2015-02-06,15:26:22.667040,1
303,2015-02-06,15:26:22.967258,0
304,2015-02-06,15:26:23.266305,0
305,2015-02-06,15:26:23.566519,1
306,2015-02-06,15:26:23.866335,0
307,2015-02-06,15:26:24.166604,0
308,2015-02-06,15:26:24.466853,1
309,2015-02-06,15:26:24.767224,0
310,2015-02-06,15:26:25.066988,1
311,2015-02-06,15:26:25.367480,0
312,2015-02-06,15:26:25.667317,0
313,2015-02-06,15:26:25.967880,0
314,2015-02-06,15:26:26.267721,1
315,2015-02-06,15:26:26.568086,0
316,2015-02-06,15:26:26.867855,1
317,2015-02-06,15:26:27.168061,1
318,2015-02-06,15:26:27.468209,0
319,2015-02-06,15:26:27.768474,1
320,2015-02-06,15:26:28.068521,2
321,2015-02-06,15:26:28.368807,1
322,2015-02-06,15:26:28.667777,1
323,2015-02-06,15:26:28.968167,1
324,2015-02-06,15:26:29.267940,2
325,2015-02-06,15:26:29.569392,1
326,2015-02-06,15:26:29.869499,0
327,2015-02-06,15:26:30.169796,2
328,2015-02-06,15:26:30.469875,1
329,2015-02-06,15:26:30.770080,1
330,2015-02-06,15:26:31.068909,0
331,2015-02-06,15:26:31.369209,0
332,2015-02-06,15:26:31.669273,0
333,2015-02-06,15:26:31.969559,0
334,2015-02-06,15:26:32.269601,0
335,2015-02-06,15:26:32.569789,1
336,2015-02-06,15:26:32.869914,0
337,2015-02-06,15:26:33.171322,0
338,2015-02-06,15:26:33.470268,2
339,2015-02-06,15:26:33.770486,3
340,2015-02-06,15:26:34.070582,0
341,2015-02-06,15:26:34.370825,2
342,2015-02-06,15:26:34.670919,1
343,2015-02-06,15:26:34.971102,1
344,2015-02-06,15:26:35.271273,0
345,2015-02-06,15:26:35.571427,0
346,2015-02-06,15:26:35.871568,0
347,2015-02-06,15:26:36.171724,1
348,2015-02-06,15:26:36.470686,0
349,2015-02-06,15:26:36.772136,1
350,2015-02-06,15:26:37.072366,0
351,2015-02-06,15:26:37.372417,2
352,2015-02-06,15:26:37.672708,0
353,2015-02-06,15:26:37.972730,0
354,2015-02-06,15:26:38.273034,0
355,2015-02-06,15:26:38.573079,1
356,2015-02-06,15:26:38.871966,0
357,2015-02-06,15:26:39.172134,0
358,2015-02-06,15:26:39.472443,0
359,2015-02-06,15:26:39.772477,0
360,2015-02-06,15:26:40.074221,1
361,2015-02-06,15:26:40.374086,0
362,2015-02-06,15:26:40.674623,0
363,2015-02-06,15:26:40.974817,1
364,2015-02-06,15:26:41.273479,0
365,2015-02-06,15:26:41.573606,0
366,2015-02-06,15:26:41.873649,1
367,2015-02-06,15:26:42.173788,1
368,2015-02-06,15:26:42.474050,0
369,2015-02-06,15:26:42.774164,0
370,2015-02-06,15:26:43.074742,0
371,2015-02-06,15:26:43.374771,1
372,2015-02-06,15:26:43.674913,0
373,2015-02-06,15:26:43.975083,1
374,2015-02-06,15:26:44.275478,0
375,2015-02-06,15:26:44.575402,0
376,2015-02-06,15:26:44.875427,1
377,2015-02-06,15:26:45.175596,1
378,2015-02-06,15:26:45.476092,0
379,2015-02-06,15:26:45.776085,0
380,2015-02-06,15:26:46.076498,0
381,2015-02-06,15:26:46.376431,2
382,2015-02-06,15:26:46.675333,1
383,2015-02-06,15:26:46.975517,0
384,2015-02-06,15:26:47.277156,1
385,2015-02-06,15:26:47.578577,1
386,2015-02-06,15:26:47.877103,1
387,2015-02-06,15:26:48.177193,1
388,2015-02-06,15:26:48.477758,0
389,2015-02-06,15:26:48.777741,0
390,2015-02-06,15:26:49.076793,1
391,2015-02-06,15:26:49.376856,0
392,2015-02-06,15:26:49.676970,0
393,2015-02-06,15:26:49.977317,0
394,2015-02-06,15:26:50.277586,0
395,2015-02-06,15:26:50.577755,11
396,2015-02-06,15:26:50.879067,62
397,2015-02-06,15:26:51.179448,163
398,2015-02-06,15:26:51.478331,122
399,2015-02-06,15:26:51.778396,135
400,2015-02-06,15:26:52.078301,32
401,2015-02-06,15:26:52.378917,65
402,2015-02-06,15:26:52.678370,2
403,2015-02-06,15:26:52.978642,3
404,2015-02-06,15:26:53.278706,1
405,2015-02-06,15:26:53.578993,2
406,2015-02-06,15:26:53.879026,2
407,2015-02-06,15:26:54.179228,2
408,2015-02-06,15:26:54.479387,0
409,2015-02-06,15:26:54.779540,1
410,2015-02-06,15:26:55.079805,1
411,2015-02-06,15:26:55.380323,1
412,2015-02-06,15:26:55.680006,0
413,2015-02-06,15:26:55.980319,0
414,2015-02-06,15:26:56.280365,1
415,2015-02-06,15:26:56.580649,0
416,2015-02-06,15:26:56.879423,0
417,2015-02-06,15:26:57.179642,1
418,2015-02-06,15:26:57.479799,2
419,2015-02-06,15:26:57.781202,4
420,2015-02-06,15:26:58.081370,3
421,2015-02-06,15:26:58.381645,2
422,2015-02-06,15:26:58.681691,2
423,2015-02-06,15:26:58.982016,0
424,2015-02-06,15:26:59.280827,2
425,2015-02-06,15:26:59.581047,0
426,2015-02-06,15:26:59.881086,1
427,2015-02-06,15:27:00.181281,1
428,2015-02-06,15:27:00.481438,1
429,2015-02-06,15:27:00.781615,0
430,2015-02-06,15:27:01.083006,2
431,2015-02-06,15:27:01.383175,0
432,2015-02-06,15:27:01.682109,0
433,2015-02-06,15:27:01.982309,1
434,2015-02-06,15:27:02.282410,0
435,2015-02-06,15:27:02.582725,1
436,2015-02-06,15:27:02.882747,1
437,2015-02-06,15:27:03.182928,1
438,2015-02-06,15:27:03.483105,0
439,2015-02-06,15:27:03.783544,0
440,2015-02-06,15:27:04.083406,2
441,2015-02-06,15:27:04.383593,0
442,2015-02-06,15:27:04.683797,0
443,2015-02-06,15:27:04.983888,2
444,2015-02-06,15:27:05.284142,0
445,2015-02-06,15:27:05.584280,1
446,2015-02-06,15:27:05.884655,1
447,2015-02-06,15:27:06.184715,0
448,2015-02-06,15:27:06.485166,0
449,2015-02-06,15:27:06.785191,1
450,2015-02-06,15:27:07.083823,1
451,2015-02-06,15:27:07.384002,0
452,2015-02-06,15:27:07.684205,1
453,2015-02-06,15:27:07.984694,2
454,2015-02-06,15:27:08.285986,1
455,2015-02-06,15:27:08.586292,1
456,2015-02-06,15:27:08.886329,1
457,2015-02-06,15:27:09.186539,0
458,2015-02-06,15:27:09.485560,0
459,2015-02-06,15:27:09.785569,0
460,2015-02-06,15:27:10.085733,1
461,2015-02-06,15:27:10.385843,1
462,2015-02-06,15:27:10.685999,1
463,2015-02-06,15:27:10.986417,0
464,2015-02-06,15:27:11.286594,0
465,2015-02-06,15:27:11.587817,1
466,2015-02-06,15:27:11.886731,2
467,2015-02-06,15:27:12.186764,0
468,2015-02-06,15:27:12.487415,2
469,2015-02-06,15:27:12.787414,0
470,2015-02-06,15:27:13.087588,2
471,2015-02-06,15:27:13.387611,1
472,2015-02-06,15:27:13.687853,1
473,2015-02-06,15:27:13.987943,1
474,2015-02-06,15:27:14.287873,3
475,2015-02-06,15:27:14.587984,0
476,2015-02-06,15:27:14.887153,0
477,2015-02-06,15:27:15.188284,1
478,2015-02-06,15:27:15.488588,3
479,2015-02-06,15:27:15.788635,3
480,2015-02-06,15:27:16.088807,2
481,2015-02-06,15:27:16.388991,1
482,2015-02-06,15:27:16.689262,2
483,2015-02-06,15:27:16.989274,1
484,2015-02-06,15:27:17.288450,0
485,2015-02-06,15:27:17.588388,0
486,2015-02-06,15:27:17.888612,0
487,2015-02-06,15:27:18.188684,2
488,2015-02-06,15:27:18.488943,1
489,2015-02-06,15:27:18.790358,1
490,2015-02-06,15:27:19.090452,0
491,2015-02-06,15:27:19.390673,0
492,2015-02-06,15:27:19.689539,0
493,2015-02-06,15:27:19.989688,1
494,2015-02-06,15:27:20.289872,1
495,2015-02-06,15:27:20.590169,0
496,2015-02-06,15:27:20.890205,1
497,2015-02-06,15:27:21.190469,1
498,2015-02-06,15:27:21.490579,0
499,2015-02-06,15:27:21.790761,0
500,2015-02-06,15:27:22.090992,1
501,2015-02-06,15:27:22.391092,1
502,2015-02-06,15:27:22.691198,2
503,2015-02-06,15:27:22.991368,0
504,2015-02-06,15:27:23.291530,1
505,2015-02-06,15:27:23.591985,2
506,2015-02-06,15:27:23.891862,1
507,2015-02-06,15:27:24.192091,1
508,2015-02-06,15:27:24.492226,0
509,2015-02-06,15:27:24.792476,0
510,2015-02-06,15:27:25.091276,0
511,2015-02-06,15:27:25.391497,0
512,2015-02-06,15:27:25.692849,1
513,2015-02-06,15:27:25.993176,1
514,2015-02-06,15:27:26.293177,0
515,2015-02-06,15:27:26.593466,1
516,2015-02-06,15:27:26.893515,1
517,2015-02-06,15:27:27.193721,0
518,2015-02-06,15:27:27.492613,1
519,2015-02-06,15:27:27.792887,2
520,2015-02-06,15:27:28.092916,1
521,2015-02-06,15:27:28.393136,0
522,2015-02-06,15:27:28.693255,0
523,2015-02-06,15:27:28.993439,0
524,2015-02-06,15:27:29.295142,2
525,2015-02-06,15:27:29.595314,2
526,2015-02-06,15:27:29.893912,1
527,2015-02-06,15:27:30.194158,0
528,2015-02-06,15:27:30.494269,1
529,2015-02-06,15:27:30.794893,1
530,2015-02-06,15:27:31.094879,0
531,2015-02-06,15:27:31.394945,2
532,2015-02-06,15:27:31.695188,0
533,2015-02-06,15:27:31.995370,0
534,2015-02-06,15:27:32.295527,0
535,2015-02-06,15:27:32.595678,1
536,2015-02-06,15:27:32.895763,1
537,2015-02-06,15:27:33.196188,1
538,2015-02-06,15:27:33.496333,2
539,2015-02-06,15:27:33.796523,1
540,2015-02-06,15:27:34.096700,3
541,2015-02-06,15:27:34.396775,1
542,2015-02-06,15:27:34.697100,1
543,2015-02-06,15:27:34.996999,0
544,2015-02-06,15:27:35.295850,1
545,2015-02-06,15:27:35.596268,0
546,2015-02-06,15:27:35.896392,0
547,2015-02-06,15:27:36.197646,0
548,2015-02-06,15:27:36.497945,1
549,2015-02-06,15:27:36.797866,0
550,2015-02-06,15:27:37.098082,0
551,2015-02-06,15:27:37.398084,1
552,2015-02-06,15:27:37.697366,1
553,2015-02-06,15:27:37.997428,1
554,2015-02-06,15:27:38.297786,1
555,2015-02-06,15:27:38.597923,0
556,2015-02-06,15:27:38.897956,0
557,2015-02-06,15:27:39.197793,1
558,2015-02-06,15:27:39.498297,0
559,2015-02-06,15:27:39.799395,0
560,2015-02-06,15:27:40.098419,0
561,2015-02-06,15:27:40.398493,0
562,2015-02-06,15:27:40.698751,2
563,2015-02-06,15:27:40.998809,0
564,2015-02-06,15:27:41.298985,1
565,2015-02-06,15:27:41.599113,0
566,2015-02-06,15:27:41.899345,0
567,2015-02-06,15:27:42.199438,1
568,2015-02-06,15:27:42.499768,0
569,2015-02-06,15:27:42.799792,1
570,2015-02-06,15:27:43.100016,2
571,2015-02-06,15:27:43.400139,1
572,2015-02-06,15:27:43.700362,0
573,2015-02-06,15:27:44.000450,0
574,2015-02-06,15:27:44.300755,0
575,2015-02-06,15:27:44.600773,1
576,2015-02-06,15:27:44.900968,1
577,2015-02-06,15:27:45.201102,0
578,2015-02-06,15:27:45.500159,1
579,2015-02-06,15:27:45.800212,5
580,2015-02-06,15:27:46.100413,4
581,2015-02-06,15:27:46.400540,1
582,2015-02-06,15:27:46.703164,0
583,2015-02-06,15:27:47.002187,0
584,2015-02-06,15:27:47.302281,0
585,2015-02-06,15:27:47.602565,0
586,2015-02-06,15:27:47.901370,0
587,2015-02-06,15:27:48.201523,0
588,2015-02-06,15:27:48.501723,0
589,2015-02-06,15:27:48.801985,1
590,2015-02-06,15:27:49.102068,2
591,2015-02-06,15:27:49.402322,0
592,2015-02-06,15:27:49.702376,1
593,2015-02-06,15:27:50.002582,2
594,2015-02-06,15:27:50.302698,0
595,2015-02-06,15:27:50.602912,1
596,2015-02-06,15:27:50.903025,1
597,2015-02-06,15:27:51.203200,1
598,2015-02-06,15:27:51.503351,4
599,2015-02-06,15:27:51.803594,1
600,2015-02-06,15:27:52.103662,0
601,2015-02-06,15:27:52.404149,1
602,2015-02-06,15:27:52.704011,1
603,2015-02-06,15:27:53.004806,0
604,2015-02-06,15:27:53.303416,1
605,2015-02-06,15:27:53.604695,0
606,2015-02-06,15:27:53.904832,0
607,2015-02-06,15:27:54.205127,0
608,2015-02-06,15:27:54.505307,0
609,2015-02-06,15:27:54.805507,1
610,2015-02-06,15:27:55.105379,0
611,2015-02-06,15:27:55.405957,2
612,2015-02-06,15:27:55.704746,1
613,2015-02-06,15:27:56.005016,1
614,2015-02-06,15:27:56.305068,1
615,2015-02-06,15:27:56.605106,1
616,2015-02-06,15:27:56.905236,0
617,2015-02-06,15:27:57.206970,1
618,2015-02-06,15:27:57.507061,0
619,2015-02-06,15:27:57.807367,1
620,2015-02-06,15:27:58.106014,1
621,2015-02-06,15:27:58.406377,1
622,2015-02-06,15:27:58.706527,0
623,2015-02-06,15:27:59.006747,0
624,2015-02-06,15:27:59.306879,2
625,2015-02-06,15:27:59.606762,0
626,2015-02-06,15:27:59.906876,0
627,2015-02-06,15:28:00.207349,1
628,2015-02-06,15:28:00.507556,1
629,2015-02-06,15:28:00.807678,0
630,2015-02-06,15:28:01.107570,0
631,2015-02-06,15:28:01.407888,0
632,2015-02-06,15:28:01.707985,0
633,2015-02-06,15:28:02.008026,0
634,2015-02-06,15:28:02.308202,0
635,2015-02-06,15:28:02.608354,0
636,2015-02-06,15:28:02.908473,0
637,2015-02-06,15:28:03.208550,0
638,2015-02-06,15:28:03.507753,1
639,2015-02-06,15:28:03.808024,0
640,2015-02-06,15:28:04.109329,1
641,2015-02-06,15:28:04.409247,0
642,2015-02-06,15:28:04.709517,0
643,2015-02-06,15:28:05.009556,0
644,2015-02-06,15:28:05.309860,0
645,2015-02-06,15:28:05.609885,2
646,2015-02-06,15:28:05.908928,1
647,2015-02-06,15:28:06.208956,0
648,2015-02-06,15:28:06.509177,0
649,2015-02-06,15:28:06.809317,0
650,2015-02-06,15:28:07.109505,0
651,2015-02-06,15:28:07.409762,2
652,2015-02-06,15:28:07.711195,1
653,2015-02-06,15:28:08.011208,0
654,2015-02-06,15:28:08.310268,0
655,2015-02-06,15:28:08.610304,1
656,2015-02-06,15:28:08.910598,0
657,2015-02-06,15:28:09.210628,0
658,2015-02-06,15:28:09.510840,1
659,2015-02-06,15:28:09.810959,2
660,2015-02-06,15:28:10.111164,0
661,2015-02-06,15:28:10.411318,1
662,2015-02-06,15:28:10.711535,2
663,2015-02-06,15:28:11.011622,1
664,2015-02-06,15:28:11.311983,2
665,2015-02-06,15:28:11.611968,1
666,2015-02-06,15:28:11.912195,1
667,2015-02-06,15:28:12.212276,2
668,2015-02-06,15:28:12.512497,0
669,2015-02-06,15:28:12.812625,1
670,2015-02-06,15:28:13.112768,0
671,2015-02-06,15:28:13.412968,0
672,2015-02-06,15:28:13.711934,0
673,2015-02-06,15:28:14.012037,0
674,2015-02-06,15:28:14.312339,0
675,2015-02-06,15:28:14.613732,0
676,2015-02-06,15:28:14.913778,1
677,2015-02-06,15:28:15.214009,0
678,2015-02-06,15:28:15.514143,0
679,2015-02-06,15:28:15.814690,0
680,2015-02-06,15:28:16.113320,0
681,2015-02-06,15:28:16.413388,1
682,2015-02-06,15:28:16.713536,2
683,2015-02-06,15:28:17.013815,1
684,2015-02-06,15:28:17.313859,0
685,2015-02-06,15:28:17.614145,2
686,2015-02-06,15:28:17.914189,0
687,2015-02-06,15:28:18.215925,2
688,2015-02-06,15:28:18.514836,0
689,2015-02-06,15:28:18.815071,0
690,2015-02-06,15:28:19.114930,0
691,2015-02-06,15:28:19.415269,1
692,2015-02-06,15:28:19.715453,2
693,2015-02-06,15:28:20.015722,0
694,2015-02-06,15:28:20.315707,1
695,2015-02-06,15:28:20.615943,1
696,2015-02-06,15:28:20.916162,0
697,2015-02-06,15:28:21.216552,2
698,2015-02-06,15:28:21.515227,2
